"","Survived","Pclass","Sex","Age","SibSp","Parch","Embarked","HasCabin"
"650","1","3","female",23,0,0,"S","No"
"651","0","3","male",21,0,0,"S","No"
"652","1","2","female",18,0,1,"S","No"
"653","0","3","male",21,0,0,"S","No"
"654","1","3","female",16,0,0,"Q","No"
"655","0","3","female",18,0,0,"Q","No"
"656","0","2","male",24,2,0,"S","No"
"657","0","3","male",21,0,0,"S","No"
"658","0","3","female",32,1,1,"Q","No"
"659","0","2","male",23,0,0,"S","No"
"660","0","1","male",58,0,2,"C","Si"
"661","1","1","male",50,2,0,"S","No"
"662","0","3","male",40,0,0,"C","No"
"663","0","1","male",47,0,0,"S","Si"
"664","0","3","male",36,0,0,"S","No"
"665","1","3","male",20,1,0,"S","No"
"666","0","2","male",32,2,0,"S","No"
"667","0","2","male",25,0,0,"S","No"
"668","0","3","male",21,0,0,"S","No"
"669","0","3","male",43,0,0,"S","No"
"670","1","1","female",35,1,0,"S","Si"
"671","1","2","female",40,1,1,"S","No"
"672","0","1","male",31,1,0,"S","Si"
"673","0","2","male",70,0,0,"S","No"
"674","1","2","male",31,0,0,"S","No"
"675","0","2","male",32,0,0,"S","No"
"676","0","3","male",18,0,0,"S","No"
"677","0","3","male",24.5,0,0,"S","No"
"678","1","3","female",18,0,0,"S","No"
"679","0","3","female",43,1,6,"S","No"
"680","1","1","male",36,0,1,"C","Si"
"681","0","3","female",30.5,0,0,"Q","No"
"682","1","1","male",27,0,0,"C","Si"
"683","0","3","male",20,0,0,"S","No"
"684","0","3","male",14,5,2,"S","No"
"685","0","2","male",60,1,1,"S","No"
"686","0","2","male",25,1,2,"C","No"
"687","0","3","male",14,4,1,"S","No"
"688","0","3","male",19,0,0,"S","No"
"689","0","3","male",18,0,0,"S","No"
"690","1","1","female",15,0,1,"S","Si"
"691","1","1","male",31,1,0,"S","Si"
"692","1","3","female",4,0,1,"C","No"
"693","1","3","male",27,0,0,"S","No"
"694","0","3","male",25,0,0,"C","No"
"695","0","1","male",60,0,0,"S","No"
"696","0","2","male",52,0,0,"S","No"
"697","0","3","male",44,0,0,"S","No"
"698","1","3","female",16,0,0,"Q","No"
"699","0","1","male",49,1,1,"C","Si"
"700","0","3","male",42,0,0,"S","Si"
"701","1","1","female",18,1,0,"C","Si"
"702","1","1","male",35,0,0,"S","Si"
"703","0","3","female",18,0,1,"C","No"
"704","0","3","male",25,0,0,"Q","No"
"705","0","3","male",26,1,0,"S","No"
"706","0","2","male",39,0,0,"S","No"
"707","1","2","female",45,0,0,"S","No"
"708","1","1","male",42,0,0,"S","Si"
"709","1","1","female",22,0,0,"S","No"
"710","1","3","male",20,1,1,"C","No"
"711","1","1","female",24,0,0,"C","Si"
"712","0","1","male",54,0,0,"S","Si"
"713","1","1","male",48,1,0,"S","Si"
"714","0","3","male",29,0,0,"S","No"
"715","0","2","male",52,0,0,"S","No"
"716","0","3","male",19,0,0,"S","Si"
"717","1","1","female",38,0,0,"C","Si"
"718","1","2","female",27,0,0,"S","Si"
"719","0","3","male",40.5,0,0,"Q","No"
"720","0","3","male",33,0,0,"S","No"
"721","1","2","female",6,0,1,"S","No"
"722","0","3","male",17,1,0,"S","No"
"723","0","2","male",34,0,0,"S","No"
"724","0","2","male",50,0,0,"S","No"
"725","1","1","male",27,1,0,"S","Si"
"726","0","3","male",20,0,0,"S","No"
"727","1","2","female",30,3,0,"S","No"
"728","1","3","female",16,0,0,"Q","No"
"729","0","2","male",25,1,0,"S","No"
"730","0","3","female",25,1,0,"S","No"
"731","1","1","female",29,0,0,"S","Si"
"732","0","3","male",11,0,0,"C","No"
"733","0","2","male",32,0,0,"S","No"
"734","0","2","male",23,0,0,"S","No"
"735","0","2","male",23,0,0,"S","No"
"736","0","3","male",28.5,0,0,"S","No"
"737","0","3","female",48,1,3,"S","No"
"738","1","1","male",35,0,0,"C","Si"
"739","0","3","male",21,0,0,"S","No"
"740","0","3","male",21,0,0,"S","No"
"741","1","1","male",36,0,0,"S","Si"
"742","0","1","male",36,1,0,"S","Si"
"743","1","1","female",21,2,2,"C","Si"
"744","0","3","male",24,1,0,"S","No"
"745","1","3","male",31,0,0,"S","No"
"746","0","1","male",70,1,1,"S","Si"
"747","0","3","male",16,1,1,"S","No"
"748","1","2","female",30,0,0,"S","No"
"749","0","1","male",19,1,0,"S","Si"
"750","0","3","male",31,0,0,"Q","No"
"751","1","2","female",4,1,1,"S","No"
"752","1","3","male",6,0,1,"S","Si"
"753","0","3","male",33,0,0,"S","No"
"754","0","3","male",23,0,0,"S","No"
"755","1","2","female",48,1,2,"S","No"
"756","1","2","male",0.67,1,1,"S","No"
"757","0","3","male",28,0,0,"S","No"
"758","0","2","male",18,0,0,"S","No"
"759","0","3","male",34,0,0,"S","No"
"760","1","1","female",33,0,0,"S","Si"
"761","0","3","male",21,0,0,"S","No"
"762","0","3","male",41,0,0,"S","No"
"763","1","3","male",20,0,0,"C","No"
"764","1","1","female",36,1,2,"S","Si"
"765","0","3","male",16,0,0,"S","No"
"766","1","1","female",51,1,0,"S","Si"
"767","0","1","male",40,0,0,"C","No"
"768","0","3","female",30.5,0,0,"Q","No"
"769","0","3","male",40.5,1,0,"Q","No"
"770","0","3","male",32,0,0,"S","No"
"771","0","3","male",24,0,0,"S","No"
"772","0","3","male",48,0,0,"S","No"
"773","0","2","female",57,0,0,"S","Si"
"774","0","3","male",30,0,0,"C","No"
"775","1","2","female",54,1,3,"S","No"
"776","0","3","male",18,0,0,"S","No"
"777","0","3","male",25,0,0,"Q","Si"
"778","1","3","female",5,0,0,"S","No"
"779","0","3","male",40.5,0,0,"Q","No"
"780","1","1","female",43,0,1,"S","Si"
"781","1","3","female",13,0,0,"C","No"
"782","1","1","female",17,1,0,"S","Si"
"783","0","1","male",29,0,0,"S","Si"
"784","0","3","male",26,1,2,"S","No"
"785","0","3","male",25,0,0,"S","No"
"786","0","3","male",25,0,0,"S","No"
"787","1","3","female",18,0,0,"S","No"
"788","0","3","male",8,4,1,"Q","No"
"789","1","3","male",1,1,2,"S","No"
"790","0","1","male",46,0,0,"C","Si"
"791","0","3","male",40.5,0,0,"Q","No"
"792","0","2","male",16,0,0,"S","No"
"793","0","3","female",9,8,2,"S","No"
"794","0","1","male",40,0,0,"C","No"
"795","0","3","male",25,0,0,"S","No"
"796","0","2","male",39,0,0,"S","No"
"797","1","1","female",49,0,0,"S","Si"
"798","1","3","female",31,0,0,"S","No"
"799","0","3","male",30,0,0,"C","No"
"800","0","3","female",30,1,1,"S","No"
"801","0","2","male",34,0,0,"S","No"
"802","1","2","female",31,1,1,"S","No"
"803","1","1","male",11,1,2,"S","Si"
"804","1","3","male",0.42,0,1,"C","No"
"805","1","3","male",27,0,0,"S","No"
"806","0","3","male",31,0,0,"S","No"
"807","0","1","male",39,0,0,"S","Si"
"808","0","3","female",18,0,0,"S","No"
"809","0","2","male",39,0,0,"S","No"
"810","1","1","female",33,1,0,"S","Si"
"811","0","3","male",26,0,0,"S","No"
"812","0","3","male",39,0,0,"S","No"
"813","0","2","male",35,0,0,"S","No"
"814","0","3","female",6,4,2,"S","No"
"815","0","3","male",30.5,0,0,"S","No"
"816","0","1","male",54,0,0,"S","Si"
"817","0","3","female",23,0,0,"S","No"
"818","0","2","male",31,1,1,"C","No"
"819","0","3","male",43,0,0,"S","No"
"820","0","3","male",10,3,2,"S","No"
"821","1","1","female",52,1,1,"S","Si"
"822","1","3","male",27,0,0,"S","No"
"823","0","1","male",38,0,0,"S","No"
"824","1","3","female",27,0,1,"S","Si"
"825","0","3","male",2,4,1,"S","No"
"826","0","3","male",40.5,0,0,"Q","No"
"827","0","3","male",21,0,0,"S","No"
"828","1","2","male",1,0,2,"C","No"
"829","1","3","male",29,0,0,"Q","No"
"830","1","1","female",62,0,0,"S","Si"
"831","1","3","female",15,1,0,"C","No"
"832","1","2","male",0.83,1,1,"S","No"
"833","0","3","male",30,0,0,"C","No"
"834","0","3","male",23,0,0,"S","No"
"835","0","3","male",18,0,0,"S","No"
"836","1","1","female",39,1,1,"C","Si"
"837","0","3","male",21,0,0,"S","No"
"838","0","3","male",21,0,0,"S","No"
"839","1","3","male",32,0,0,"S","No"
"840","1","1","male",35,0,0,"C","Si"
"841","0","3","male",20,0,0,"S","No"
"842","0","2","male",16,0,0,"S","No"
"843","1","1","female",30,0,0,"C","No"
"844","0","3","male",34.5,0,0,"C","No"
"845","0","3","male",17,0,0,"S","No"
"846","0","3","male",42,0,0,"S","No"
"847","0","3","male",9,8,2,"S","No"
"848","0","3","male",35,0,0,"C","No"
"849","0","2","male",28,0,1,"S","No"
"850","1","1","female",31,1,0,"C","Si"
"851","0","3","male",4,4,2,"S","No"
"852","0","3","male",74,0,0,"S","No"
"853","0","3","female",9,1,1,"C","No"
"854","1","1","female",16,0,1,"S","Si"
"855","0","2","female",44,1,0,"S","No"
"856","1","3","female",18,0,1,"S","No"
"857","1","1","female",45,1,1,"S","No"
"858","1","1","male",51,0,0,"S","Si"
"859","1","3","female",24,0,3,"C","No"
"860","0","3","male",30,0,0,"C","No"
"861","0","3","male",41,2,0,"S","No"
"862","0","2","male",21,1,0,"S","No"
"863","1","1","female",48,0,0,"S","Si"
"864","0","3","female",9,8,2,"S","No"
"865","0","2","male",24,0,0,"S","No"
"866","1","2","female",42,0,0,"S","No"
"867","1","2","female",27,1,0,"C","No"
"868","0","1","male",31,0,0,"S","Si"
"869","0","3","male",21,0,0,"S","No"
"870","1","3","male",4,1,1,"S","No"
"871","0","3","male",26,0,0,"S","No"
"872","1","1","female",47,1,1,"S","Si"
"873","0","1","male",33,0,0,"S","Si"
"874","0","3","male",47,0,0,"S","No"
"875","1","2","female",28,1,0,"C","No"
"876","1","3","female",15,0,0,"C","No"
"877","0","3","male",20,0,0,"S","No"
"878","0","3","male",19,0,0,"S","No"
"879","0","3","male",21,0,0,"S","No"
"880","1","1","female",56,0,1,"C","Si"
"881","1","2","female",25,0,1,"S","No"
"882","0","3","male",33,0,0,"S","No"
"883","0","3","female",22,0,0,"S","No"
"884","0","2","male",28,0,0,"S","No"
"885","0","3","male",25,0,0,"S","No"
"886","0","3","female",39,0,5,"Q","No"
"887","0","2","male",27,0,0,"S","No"
"888","1","1","female",19,0,0,"S","Si"
"889","0","3","female",21,1,2,"S","No"
"890","1","1","male",26,0,0,"C","Si"
"891","0","3","male",32,0,0,"Q","No"
